name,email_address,social_security_num,gender_age,ethnicity,movie1,movie2,movie3,movie4,movie5
Terri Jackson,aaron98@example.net,366-92-2029,Female 35-54,Caucasian or White,Dirty Dancing,Facing the Giants,fireproof,Titanic,na
Brian Lara,jennifer27@example.net,086-83-5627,Female 25-34,Caucasian or White,Gone with the Wind,One Night with the King,Aladdin,The Birds,The Fifth Element
Michael Martinez,lunatammy@example.net,626-62-2323,Female 35-54,Caucasian or White,Footloose,The Lord of the Rings,Labyrinth,Harry Potter and the Chamber of Secrets,Girls Just Want to Have Fun
Nicole Adams,rodneybridges@example.net,474-36-8124,Male 14-17,Caucasian or White,Jaws,The Monster Squad,The SpongeBob SquarePants Movie,The SpongeBob Movie: Sponge Out of Water,Blade
Debra Ramirez,amiller@example.net,388-89-0733,Female 25-34,Caucasian or White,Clueless,Some Like It Hot,The Parent Trap, , 
William Parker,thompsoncarlos@example.org,668-40-7430,Female 35-54,Caucasian or White,Memento,Star Wars: Episode IV - A New Hope,Jaws,Tommy Boy,A Nightmare on Elm Street
Timothy Harper,tammie65@example.net,624-03-7779,Female 18-24,Caucasian or White,Harry Potter and the Goblet of Fire,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 2,Pineapple Express,Simon Birch
Christopher Cooper,brianbrown@example.org,559-23-4432,Female 25-34,Caucasian or White,Avengers: Endgame,La La Land,The Little Mermaid,10 Things I Hate About You,What About Bob
Dean Barnes,edwardnguyen@example.org,759-49-4478,Male 35-54,Other,The Godfather,Goodfellas,Jaws, , 
Gerald Brown,williambryant@example.org,381-81-0030,Female 25-34,African-American or Black,Ice Age: Continental Drift,Break Point,Creature from the Black Lagoon,Licence to Kill,King Arthur
Jordan Stephens,tmills@example.net,257-55-8980,Female 18-24,African-American or Black,Get Out,Bird Box,Mean Girls, , 
Timothy York,scottbriggs@example.net,794-69-3680,Male 35-54,Caucasian or White,Behind Enemy Lines,Harry Potter and the Chamber of Secrets,Lucy, , 
John Smith,timothy04@example.net,468-26-2381,Female 14-17,Caucasian or White,Moulin Rouge,Gone with the Wind,Alice in Wonderland,A Christmas Story,National Lampoon's Christmas Vacation
